Title,,,,,,,,,,,,,
Description,,,,,,,,,,,,,
Date,Longitude,Latitude,Altitude [m],Source,GlobalCellId,PCI,Frequency [MHz],LTE NB-RSRP_Top1_byPower [dBm],LTE NB-RSRP_Top2_byPower [dBm],LTE NB-RSRP_Top3_byPower [dBm],LTE NB-RSRQ_Top1_byPower [dB],LTE NB-RSRQ_Top2_byPower [dB],LTE NB-RSRQ_Top3_byPower [dB]
11/4/2025 17:07:57.182,-73.0051688,5.03946403174748,1332,Scanner,,206,1937.5,,,-102.07,,,-14.4
11/4/2025 17:07:57.874,-73.0051687653361,5.0394642039916,1332,Scanner,,338,768,-52.03,,,-9.31,,
11/4/2025 17:07:57.874,-73.0051687653361,5.0394642039916,1332,Scanner,,336,768,,-65.39,,,-22.67,
11/4/2025 17:07:59.982,-73.0051692141026,5.03946455512821,1332,Scanner,,338,768,-51.76,,,-9.26,,
11/4/2025 17:07:59.982,-73.0051692141026,5.03946455512821,1332,Scanner,,336,768,,-65.15,,,-22.65,
11/4/2025 17:08:00.164,-73.0051693487179,5.03946453589744,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.45,,,-13.06
11/4/2025 17:08:01.124,-73.0051698342007,5.03946455855019,1332,Scanner,,336,768,,-65.55,,,-24.96,
11/4/2025 17:08:01.124,-73.0051698342007,5.03946455855019,1332,Scanner,LTE 732/103/832019/182,338,768,-49.78,,,-9.19,,
11/4/2025 17:08:01.490,-73.0051699680297,5.03946459200744,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.24,,,-13.51
11/4/2025 17:08:01.802,-73.00517,5.03946468209806,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.98,,,-13.26
11/4/2025 17:08:01.915,-73.00517,5.03946472314709,1332,Scanner,,336,768,,-64.98,,,-24.56,
11/4/2025 17:08:01.915,-73.00517,5.03946472314709,1332,Scanner,LTE 732/103/832019/182,338,768,-49.6,,,-9.18,,
11/4/2025 17:08:02.528,-73.00517,5.03946491801802,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.92,,,-13.11
11/4/2025 17:08:02.873,-73.00517,5.03946498408408,1332,Scanner,,336,768,,-66.44,,,-26,
11/4/2025 17:08:02.873,-73.00517,5.03946498408408,1332,Scanner,LTE 732/103/832019/182,338,768,-49.66,,,-9.21,,
11/4/2025 17:08:03.708,-73.005169975,5.03946515,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.77,,,-13.39
11/4/2025 17:08:03.874,-73.0051699611111,5.03946517777778,1332,Scanner,,336,768,,-66.39,,,-25.88,
11/4/2025 17:08:03.874,-73.0051699611111,5.03946517777778,1332,Scanner,LTE 732/103/832019/182,338,768,-49.67,,,-9.16,,
11/4/2025 17:08:04.708,-73.005169881982,5.03946533603604,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.91,,,-13.06
11/4/2025 17:08:05.042,-73.0051698489489,5.0394654021021,1332,Scanner,,336,768,,-66.06,,,-25.93,
11/4/2025 17:08:05.042,-73.0051698489489,5.0394654021021,1332,Scanner,LTE 732/103/832019/182,338,768,-49.34,,,-9.22,,
11/4/2025 17:08:05.434,-73.0051698099099,5.03946548018018,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.28,,,-13.68
11/4/2025 17:08:05.906,-73.0051697627863,5.03946553721374,1332,Scanner,,336,768,,-66.11,,,-25.87,
11/4/2025 17:08:05.906,-73.0051697627863,5.03946553721374,1332,Scanner,LTE 732/103/832019/182,338,768,-49.45,,,-9.21,,
11/4/2025 17:08:07.078,-73.0051696472596,5.03946570548087,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.81,,,-13.35
11/4/2025 17:08:07.175,-73.0051696379524,5.03946572409514,1332,Scanner,,336,768,,-66.43,,,-25.94,
11/4/2025 17:08:07.175,-73.0051696379524,5.03946572409514,1332,Scanner,LTE 732/103/832019/182,338,768,-49.72,,,-9.23,,
11/4/2025 17:08:07.360,-73.0051696193382,5.03946576132368,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.69,,,-13.18
11/4/2025 17:08:07.875,-73.0051696,5.0394658325765,1332,Scanner,,336,768,,-66.46,,,-25.78,
11/4/2025 17:08:07.875,-73.0051696,5.0394658325765,1332,Scanner,LTE 732/103/832019/182,338,768,-49.87,,,-9.19,,
11/4/2025 17:08:08.183,-73.0051696,5.03946586219151,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.83,,,-13.19
11/4/2025 17:08:08.916,-73.0051695600444,5.03946593995561,1332,Scanner,,336,768,,-66.08,,,-25.66,
11/4/2025 17:08:08.916,-73.0051695600444,5.03946593995561,1332,Scanner,LTE 732/103/832019/182,338,768,-49.64,,,-9.22,,
11/4/2025 17:08:09.805,-73.0051694328358,5.03946603358209,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.82,,,-13.24
11/4/2025 17:08:09.929,-73.0051694104478,5.03946604477612,1332,Scanner,,336,768,,-66.12,,,-25.85,
11/4/2025 17:08:09.929,-73.0051694104478,5.03946604477612,1332,Scanner,LTE 732/103/832019/182,338,768,-49.46,,,-9.19,,
11/4/2025 17:08:10.184,-73.0051693656716,5.03946606716418,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.96,,,-13.25
11/4/2025 17:08:10.877,-73.0051692646018,5.03946613539823,1332,Scanner,,336,768,,-66.1,,,-25.93,
11/4/2025 17:08:10.877,-73.0051692646018,5.03946613539823,1332,Scanner,LTE 732/103/832019/182,338,768,-49.31,,,-9.14,,
11/4/2025 17:08:11.185,-73.0051692351032,5.03946616489675,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.88,,,-13.34
11/4/2025 17:08:11.876,-73.0051691338677,5.03946623306613,1332,Scanner,,336,768,,-66.16,,,-25.75,
11/4/2025 17:08:11.876,-73.0051691338677,5.03946623306613,1332,Scanner,LTE 732/103/832019/182,338,768,-49.59,,,-9.18,,
11/4/2025 17:08:14.447,-73.0051686244681,5.03946658776596,1332,Scanner,,338,768,-49.65,,,-9.19,,
11/4/2025 17:08:14.447,-73.0051686244681,5.03946658776596,1332,Scanner,,336,768,,-65.04,,,-24.58,
11/4/2025 17:08:15.219,-73.0051684716904,5.03946672830957,1332,Scanner,,206,1937.5,,,-101.77,,,-13.48
11/4/2025 17:08:15.447,-73.0051684228106,5.03946677718941,1332,Scanner,,338,768,-49.81,,,-9.24,,
11/4/2025 17:08:15.447,-73.0051684228106,5.03946677718941,1332,Scanner,,336,768,,-65.03,,,-24.46,
11/4/2025 17:08:16.281,-73.0051682441558,5.03946687792208,1332,Scanner,,206,1937.5,,,-102.64,,,-14.14
11/4/2025 17:08:16.640,-73.005168172119,5.03946692788104,1332,Scanner,,336,768,,-64.94,,,-24.63,
11/4/2025 17:08:16.640,-73.005168172119,5.03946692788104,1332,Scanner,LTE 732/103/832019/182,338,768,-49.53,,,-9.21,,
11/4/2025 17:08:17.220,-73.005168066171,5.039467033829,1332,Scanner,,206,1937.5,,,-102.46,,,-13.87
11/4/2025 17:08:17.641,-73.005167988,5.03946710599998,1331,Scanner,,336,768,,-65.1,,,-24.64,
11/4/2025 17:08:17.641,-73.005167988,5.03946710599998,1331,Scanner,LTE 732/103/832019/182,338,768,-49.68,,,-9.22,,
11/4/2025 17:08:18.383,-73.0051678380006,5.03946718099973,1332,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.22,,,-13.68
11/4/2025 17:08:18.545,-73.0051678020007,5.03946719899967,1332,Scanner,,336,768,,-65.18,,,-24.68,
11/4/2025 17:08:18.545,-73.0051678020007,5.03946719899967,1332,Scanner,LTE 732/103/832019/182,338,768,-49.74,,,-9.24,,
11/4/2025 17:08:19.292,-73.005168187931,5.03946727758621,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.39,,,-13.52
11/4/2025 17:08:19.525,-73.0051683690691,5.03946728198198,1331,Scanner,,336,768,,-66.3,,,-25.72,
11/4/2025 17:08:19.525,-73.0051683690691,5.03946728198198,1331,Scanner,LTE 732/103/832019/182,338,768,-49.84,,,-9.26,,
11/4/2025 17:08:20.333,-73.0051702339339,5.0394667954955,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.95,,,-13.23
11/4/2025 17:08:20.491,-73.0051705792793,5.03946670540541,1331,Scanner,,336,768,,-66,,,-25.82,
11/4/2025 17:08:20.491,-73.0051705792793,5.03946670540541,1331,Scanner,LTE 732/103/832019/182,338,768,-49.35,,,-9.17,,
11/4/2025 17:08:21.396,-73.0051756704225,5.03946517887324,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.63,,,-13.58
11/4/2025 17:08:21.492,-73.0051761774648,5.03946502676056,1331,Scanner,,336,768,,-70.26,,,-30.01,
11/4/2025 17:08:21.492,-73.0051761774648,5.03946502676056,1331,Scanner,LTE 732/103/832019/182,338,768,-49.46,,,-9.2,,
11/4/2025 17:08:22.216,-73.0051846860927,5.0394628602649,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-102.89,,,-13.28
11/4/2025 17:08:22.443,-73.0051872589404,5.03946221125828,1331,Scanner,,336,768,,-69.12,,,-25.28,
11/4/2025 17:08:22.443,-73.0051872589404,5.03946221125828,1331,Scanner,LTE 732/103/832019/182,338,768,-53.11,,,-9.27,,
11/4/2025 17:08:23.214,-73.0051980351955,5.03945923687151,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-98.69,,,-13.19
11/4/2025 17:08:23.441,-73.0052009290503,5.03945843519553,1331,Scanner,,336,768,,-77.33,,,-33.41,
11/4/2025 17:08:23.441,-73.0052009290503,5.03945843519553,1331,Scanner,LTE 732/103/832019/182,338,768,-53.63,,,-9.71,,
11/4/2025 17:08:24.214,-73.0052145066152,5.03945370672547,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-100.06,,,-12.98
11/4/2025 17:08:24.442,-73.0052188726571,5.03945214553473,1331,Scanner,,336,768,,-76.71,,,-29.02,
11/4/2025 17:08:24.442,-73.0052188726571,5.03945214553473,1331,Scanner,LTE 732/103/832019/182,338,768,-57.32,,,-9.63,,
11/4/2025 17:08:25.215,-73.0052314513346,5.03944759175815,1331,Scanner,LTE 732/101/4363/200,206,1937.5,,,-101.46,,,-13.21
