Title,,,,,,,,,,,,,
Description,,,,,,,,,,,,,
Date,Longitude,Latitude,Altitude [m],Source,GlobalCellId,PCI,Frequency [MHz],LTE NB-RSRP_Top1_byPower [dBm],LTE NB-RSRP_Top2_byPower [dBm],LTE NB-RSRP_Top3_byPower [dBm],LTE NB-RSRQ_Top1_byPower [dB],LTE NB-RSRQ_Top2_byPower [dB],LTE NB-RSRQ_Top3_byPower [dB]
11/4/2025 15:31:31.876,-73.0187758918033,5.02791174590164,987,Scanner,,452,768,-91.24,,,-13.05,,
11/4/2025 15:31:31.876,-73.0187758918033,5.02791174590164,987,Scanner,,167,768,,-95.43,,,-13.97,
11/4/2025 15:31:31.876,-73.0187758918033,5.02791174590164,987,Scanner,,336,768,,,-97.8,,,-16.39
11/4/2025 15:31:34.228,-73.018777149522,5.02791224952199,987,Scanner,,167,768,,-96.12,,,-14.64,
11/4/2025 15:31:34.228,-73.018777149522,5.02791224952199,987,Scanner,,336,768,,,-98.19,,,-17.2
11/4/2025 15:31:34.228,-73.018777149522,5.02791224952199,987,Scanner,LTE 732/123/250129/52,452,768,-88.87,,,-13.02,,
11/4/2025 15:31:34.228,-73.018777149522,5.02791224952199,987,Scanner,LTE 732/103/250129/52,452,768,-88.87,,,-13.02,,
11/4/2025 15:31:35.455,-73.0187778,5.0279134,987,Scanner,,167,768,,-96.49,,,-16,
11/4/2025 15:31:35.455,-73.0187778,5.0279134,987,Scanner,,336,768,,,-97.74,,,-17.32
11/4/2025 15:31:35.455,-73.0187778,5.0279134,987,Scanner,LTE 732/123/250129/52,452,768,-89.86,,,-13.06,,
11/4/2025 15:31:35.455,-73.0187778,5.0279134,987,Scanner,LTE 732/103/250129/52,452,768,-89.86,,,-13.06,,
11/4/2025 15:31:36.319,-73.0187776036117,5.02791349819413,987,Scanner,,167,768,,-95.83,,,-15.94,
11/4/2025 15:31:36.319,-73.0187776036117,5.02791349819413,987,Scanner,,336,768,,,-97.95,,,-18.16
11/4/2025 15:31:36.319,-73.0187776036117,5.02791349819413,987,Scanner,LTE 732/123/250129/52,452,768,-88.04,,,-12.73,,
11/4/2025 15:31:36.319,-73.0187776036117,5.02791349819413,987,Scanner,LTE 732/103/250129/52,452,768,-88.04,,,-12.73,,
11/4/2025 15:31:37.134,-73.0187771753176,5.027913146098,988,Scanner,LTE 732/101/4363/202,204,1937.5,,,-97.56,,,-14.37
11/4/2025 15:31:37.230,-73.0187771099818,5.02791309165154,988,Scanner,,167,768,,-92.83,,,-11.38,
11/4/2025 15:31:37.230,-73.0187771099818,5.02791309165154,988,Scanner,LTE 732/123/250129/52,452,768,-88.9,,,-12.92,,
11/4/2025 15:31:37.230,-73.0187771099818,5.02791309165154,988,Scanner,LTE 732/103/250129/52,452,768,-88.9,,,-12.92,,
11/4/2025 15:31:37.364,-73.0187770446461,5.02791303720508,988,Scanner,LTE 732/101/4363/202,204,1937.5,,-98.46,,,-14.16,
11/4/2025 15:31:37.904,-73.0187766974074,5.02791282708991,987,Scanner,,336,768,,,-98.61,,,-16.04
11/4/2025 15:31:37.904,-73.0187766974074,5.02791282708991,987,Scanner,LTE 732/123/250129/52,452,768,-90.72,,,-12.92,,
11/4/2025 15:31:37.904,-73.0187766974074,5.02791282708991,987,Scanner,LTE 732/103/250129/52,452,768,-90.72,,,-12.92,,
11/4/2025 15:31:38.386,-73.0187763746419,5.02791264265249,987,Scanner,LTE 732/101/4363/202,204,1937.5,,,-98.69,,,-14.22
11/4/2025 15:31:38.875,-73.0187759920039,5.02791236900296,987,Scanner,,167,768,,-98.64,,,-17.13,
11/4/2025 15:31:38.875,-73.0187759920039,5.02791236900296,987,Scanner,LTE 732/123/250129/52,452,768,-90,,,-12.93,,
11/4/2025 15:31:38.875,-73.0187759920039,5.02791236900296,987,Scanner,LTE 732/103/250129/52,452,768,-90,,,-12.93,,
11/4/2025 15:31:39.599,-73.0187753863158,5.02791195263158,987,Scanner,LTE 732/101/4363/202,204,1937.5,,,-97.78,,,-14.21
11/4/2025 15:31:39.969,-73.0187748936842,5.02791174736842,987,Scanner,,167,768,,-97.56,,,-17.34,
11/4/2025 15:31:39.969,-73.0187748936842,5.02791174736842,987,Scanner,LTE 732/123/250129/52,452,768,-88.81,,,-13.04,,
11/4/2025 15:31:39.969,-73.0187748936842,5.02791174736842,987,Scanner,LTE 732/103/250129/52,452,768,-88.81,,,-13.04,,
11/4/2025 15:31:40.923,-73.0187739636637,5.0279114039039,987,Scanner,,336,768,,-97.11,,,-18.85,
11/4/2025 15:31:40.923,-73.0187739636637,5.0279114039039,987,Scanner,,167,768,,,-98.09,,,-19.83
11/4/2025 15:31:40.923,-73.0187739636637,5.0279114039039,987,Scanner,LTE 732/123/250129/52,452,768,-88.05,,,-13.27,,
11/4/2025 15:31:40.923,-73.0187739636637,5.0279114039039,987,Scanner,LTE 732/103/250129/52,452,768,-88.05,,,-13.27,,
11/4/2025 15:31:41.519,-73.018773582018,5.0279113,987,Scanner,LTE 732/101/4363/202,204,1937.5,,-96.65,,,-14.08,
11/4/2025 15:31:41.874,-73.0187734741259,5.0279113,987,Scanner,,167,768,,,-98.54,,,-18.73
11/4/2025 15:31:41.874,-73.0187734741259,5.0279113,987,Scanner,LTE 732/123/250129/52,452,768,-88.23,,,-12.97,,
