Title,,,,,,,,,,,,,
Description,,,,,,,,,,,,,
Date,Longitude,Latitude,Altitude [m],Source,GlobalCellId,PCI,Frequency [MHz],LTE NB-RSRP_Top1_byPower [dBm],LTE NB-RSRP_Top2_byPower [dBm],LTE NB-RSRP_Top3_byPower [dBm],LTE NB-RSRQ_Top1_byPower [dB],LTE NB-RSRQ_Top2_byPower [dB],LTE NB-RSRQ_Top3_byPower [dB]
11/4/2025 18:19:12.117,-73.0099150966192,5.02247762740214,966,Scanner,,437,768,-98.85,,,-11.84,,
11/4/2025 18:19:13.621,-73.0099177320405,5.02247942141653,965,Scanner,,204,1937.5,,-125.91,,,-24.19,
11/4/2025 18:19:13.813,-73.0099179900506,5.02247945177066,965,Scanner,,437,768,-98.87,,,-10.07,,
11/4/2025 18:19:13.813,-73.0099179900506,5.02247945177066,965,Scanner,,336,768,,-101.32,,,-16.65,
11/4/2025 18:19:13.813,-73.0099179900506,5.02247945177066,965,Scanner,,253,768,,,-103.86,,,-18.34
11/4/2025 18:19:15.382,-73.009921293617,5.02248102340425,965,Scanner,,336,768,-95.45,,,-12.07,,
11/4/2025 18:19:15.382,-73.009921293617,5.02248102340425,965,Scanner,,253,768,,,-102.82,,,-18.2
11/4/2025 18:19:15.382,-73.009921293617,5.02248102340425,965,Scanner,LTE 732/103/832016/51,437,768,,-97.64,,,-12.05,
11/4/2025 18:19:15.382,-73.009921293617,5.02248102340425,965,Scanner,LTE 732/123/832016/51,437,768,,-97.64,,,-12.05,
11/4/2025 18:19:16.628,-73.0099236683849,5.02248330584192,965,Scanner,,336,768,-95.65,,,-12.45,,
11/4/2025 18:19:16.628,-73.0099236683849,5.02248330584192,965,Scanner,,253,768,,,-102.89,,,-19.2
11/4/2025 18:19:16.628,-73.0099236683849,5.02248330584192,965,Scanner,LTE 732/103/832016/51,437,768,,-98.11,,,-13.9,
11/4/2025 18:19:16.628,-73.0099236683849,5.02248330584192,965,Scanner,LTE 732/123/832016/51,437,768,,-98.11,,,-13.9,
11/4/2025 18:19:17.817,-73.0099249575758,5.02248503636364,965,Scanner,,336,768,-95,,,-11.75,,
11/4/2025 18:19:17.817,-73.0099249575758,5.02248503636364,965,Scanner,,253,768,,,-103.13,,,-18.78
11/4/2025 18:19:17.817,-73.0099249575758,5.02248503636364,965,Scanner,LTE 732/103/832016/51,437,768,,-97.93,,,-9.35,
11/4/2025 18:19:17.817,-73.0099249575758,5.02248503636364,965,Scanner,LTE 732/123/832016/51,437,768,,-97.93,,,-9.35,
11/4/2025 18:19:18.473,-73.0099252940893,5.02248582340169,966,Scanner,,336,768,-95.29,,,-11.89,,
11/4/2025 18:19:18.473,-73.0099252940893,5.02248582340169,966,Scanner,,253,768,,,-103.43,,,-19.32
11/4/2025 18:19:18.473,-73.0099252940893,5.02248582340169,966,Scanner,LTE 732/103/832016/51,437,768,,-98.37,,,-12.99,
11/4/2025 18:19:18.473,-73.0099252940893,5.02248582340169,966,Scanner,LTE 732/123/832016/51,437,768,,-98.37,,,-12.99,
11/4/2025 18:19:19.525,-73.0099257339518,5.02248702356215,966,Scanner,,336,768,-94.81,,,-11.43,,
11/4/2025 18:19:19.525,-73.0099257339518,5.02248702356215,966,Scanner,,253,768,,,-102.96,,,-18.28
11/4/2025 18:19:19.525,-73.0099257339518,5.02248702356215,966,Scanner,LTE 732/103/832016/51,437,768,,-98.13,,,-11.51,
11/4/2025 18:19:19.525,-73.0099257339518,5.02248702356215,966,Scanner,LTE 732/123/832016/51,437,768,,-98.13,,,-11.51,
11/4/2025 18:19:20.191,-73.0099260976139,5.02248791236443,966,Scanner,,336,768,-95.14,,,-12.02,,
11/4/2025 18:19:20.191,-73.0099260976139,5.02248791236443,966,Scanner,,253,768,,,-102.86,,,-18.18
11/4/2025 18:19:20.191,-73.0099260976139,5.02248791236443,966,Scanner,LTE 732/103/832016/51,437,768,,-97.78,,,-10.35,
11/4/2025 18:19:20.191,-73.0099260976139,5.02248791236443,966,Scanner,LTE 732/123/832016/51,437,768,,-97.78,,,-10.35,
11/4/2025 18:19:21.757,-73.0099267866885,5.02249034675386,966,Scanner,,336,768,-95.05,,,-11.46,,
11/4/2025 18:19:21.757,-73.0099267866885,5.02249034675386,966,Scanner,LTE 732/103/832016/51,437,768,,-97.62,,,-13.62,
11/4/2025 18:19:21.757,-73.0099267866885,5.02249034675386,966,Scanner,LTE 732/123/832016/51,437,768,,-97.62,,,-13.62,
11/4/2025 18:19:21.757,-73.0099267866885,5.02249034675386,966,Scanner,LTE 732/103/832018/53,253,768,,,-103.29,,,-18.76
11/4/2025 18:19:21.757,-73.0099267866885,5.02249034675386,966,Scanner,LTE 732/123/832018/53,253,768,,,-103.29,,,-18.76
11/4/2025 18:19:22.485,-73.0099269422078,5.02249130649351,967,Scanner,,336,768,-95.64,,,-12.53,,
11/4/2025 18:19:22.485,-73.0099269422078,5.02249130649351,967,Scanner,LTE 732/103/832016/51,437,768,,-98.21,,,-12.24,
11/4/2025 18:19:22.485,-73.0099269422078,5.02249130649351,967,Scanner,LTE 732/123/832016/51,437,768,,-98.21,,,-12.24,
11/4/2025 18:19:22.485,-73.0099269422078,5.02249130649351,967,Scanner,LTE 732/103/832018/53,253,768,,,-102.94,,,-18.68
